feedback,seller_id,order_id,store_id
"NO COMPREN, TE VENDEN ARTICULOS USADOS, TE DILATAN LAS ENTREGAS, PESIMO SERVICIO.",174430939,1813158363,12813001
Dijeron haber entregado y no fue asi,,1842361067,12813001
Hubo cierta demora para retirarlo porque no habían en Cusco,,1817846923,12821114
El encargado de la sucursal de martinez en av fleming muy mal trato tuve q retirar en suc boulogne ahi de diez,,1834209843,12822114
Son muy demorados para atender en el sitio de entrega,,1790339419,12825039
Comentario moderado por MercadoLibre,,1816283653,12835013
"ES UN MENTIROSO ,  NO ATIENDE LOS TELEFONOS ,  OBLIGA A HACER UN RECLAMO MOLESTANDO A ML , SIN SENTIDO ALGUNO ,  PIDE LA INTERVENCION DE ML , QUIEN SE OCUPA OK",,1795881159,12835020
"No quieren hacer factura, Dan mil vueltas para entregar. Son muy malos y el perfume no tiene vencimiento. No perdura. No recomiendo",,1803719632,12836032
No lo recomiendo. Tienen 6 sucursales. Te atienden mal. Compré con mucha anticipación y tuve que rogar me entreguen. Mala experiencia,,1828163794,12841021
no atiende ante los reclamos como corresponde el producto no tiene talles standar. saludos,,1848087913,12841037
No sé de quién es la responsabilidad....pero llegó 14 días después de lo pactado.,,1846011172,12841043
Tardaba en responder y no había predisposición para solución el problema,,1847836058,12842014
"Primero me dieron una fecha de entrega, después me la cambiaron, luego cuando voy a la tienda la atencion muy mala, y el empaque todo cuarteado, todo mal",20451333,1831765886,12842033
Hice toda la autorizacion para que lo retire un amigo y al fin y al cabo tuve que ir yo personalmente.,,1807003363,12845001
Todo ok,,1845848915,12845001
No entregaron factura de compra,,1837439475,12845001
El producto se entrega dañando.No me lo reconocen,,1796615775,12845004
"No pueden hacer factura A, pero si B. No es lógico esto",,1847221367,12845005
No entiendo que no entreguen factura A. La ubicación para retirarse horrible.,,1830477681,12845006
Un *,,1759195472,12845009
"La atención del vendedor por Ml fue mala, lente a ineficaz. Además sólo responden de lunes a viernes, no hay forma de que te atiendan si compras por Ml.",,1847098363,12845010
Compre el aire a un precio y al da siguiente lo subieron de precio y me cancelaron la compra sin dar explicaciones de la razon. Exijo me entreguen el producto,,1796649426,12845012
No me entregaron la factura que solicite después de casi 10 dias,,1827905970,12845013
"Pedí para que retirara un designado y me hicieron ir tres veces al local, una vergüenza. Nunca más",,1847199631,12845015
No lo recomiendo,,1847314710,12845016
"Un *, cargue un autorizado y no se lo entregaron.... MERCADO LIBRE CÓMPLICE LADRONES !!",,1809417718,12845016
"Muy mala atención de los vendedores, tuve que ir dos veces y no me quisieron hacer Fact A",,1827439614,12845019
Pésima atención de los vendedores.,,1827441143,12845019
"No lo recomiendo, la sucursal no recibe los productos en el plazo estipulado en la web. Fui 3 veces...",,1803191965,12845021
No pudo retirar el producto la persona que yo autorice. Tuve que hacerlo yo mismo,,1795102150,12846001
No me entregaron el producto y me robaron el dinero,,1840795741,12846003
